project,fault,runtime
Closure,4500304,1610
Closure,4500305,1640
Closure,4500306,1505
Closure,4500307,1608
Closure,4500308,1603
Closure,4500309,1651
Closure,4500310,3321
Closure,4500375,2020
Closure,4700232,60774
Closure,4700233,58063
Closure,4700234,61546
Closure,4700235,64457
Closure,4700236,63765
Closure,4700237,58435
Closure,4700238,60648
Closure,4700239,59311
Closure,4700240,59334
Closure,4700241,64253
Closure,4700242,42177
Closure,4700243,64748
Closure,4700316,71502
Closure,4700317,56514
Closure,4700318,56755
Closure,4700319,58122
Closure,4700320,61078
Closure,4700321,68962
Closure,4700322,60377
Closure,4700323,17658
Closure,4700324,60244
Closure,4700325,59464
Closure,4700326,60165
Closure,4700327,60467
Closure,4700328,59753
Closure,4800617,53610
Closure,4800618,63527
Closure,4800619,18000
Closure,4800620,57356
Closure,4800621,52855
Closure,4800622,61021
Closure,4800623,55581
Closure,4800624,69388
Closure,4800625,56803
Closure,4800626,56261
Closure,4800627,56902
Closure,4800628,57016
Closure,4800629,57672
Closure,4800630,53587
Closure,4900013,17063
Closure,4900014,17986
Closure,4900033,17401
Closure,4900034,16488
Closure,4900035,18682
Closure,4900036,20354
Closure,4900037,16891
Closure,4900038,17474
Closure,4900039,16233
Closure,4900040,20236
Closure,4900054,17439
Closure,4900056,17230
Closure,5000206,912
Closure,5000207,858
Closure,5000208,905
Closure,5000209,907
Closure,5000217,861
Closure,5000218,909
Closure,5000219,905
Closure,5000220,862
Closure,5000221,886
Closure,5000222,926
Closure,5000223,900
Closure,5000224,891
Closure,5000225,912
Closure,5000226,891
Closure,5000227,897
Closure,5000228,883
Closure,5000229,908
Closure,5100109,32734
Closure,5100110,31146
Closure,5100111,32816
Closure,5100112,32073
Closure,5100113,32250
Closure,5200559,31831
Closure,5200560,33140
Closure,5200561,33833
Closure,5200562,32948
Closure,5200563,31512
Closure,5200564,32153
Closure,5200565,33136
Closure,5200566,31425
Closure,5200567,31749
Closure,5200568,31720
Closure,5200569,27708
Closure,5200570,31459
Closure,5300122,1053
Closure,5300123,1093
Closure,5300124,1055
Closure,5400077,63658
Closure,5400078,67866
Closure,5400079,65096
Closure,5400080,64942
Closure,5400081,66032
Closure,5400082,65449
Closure,5400083,69084
Closure,5400084,67711
Closure,5400086,67125
Closure,5400092,71871
Closure,5400997,66992
Closure,5400998,66774
Closure,5400999,72506
Closure,5401000,33966
Closure,5401001,68507
Closure,5401002,66004
Closure,5401003,64083
Closure,5401004,78802
Closure,5500021,1097
Closure,5500022,1039
Closure,5500023,1042
Closure,5600037,25869
Closure,5600038,51048
